capture,observed_at_utc,event_id,url,market_title_raw,selection_order,accessible_label,visible_name,odds_raw,decimal_odds,disabled,node_index
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Vainqueur du match - Two options,0,FlyQuest,FlyQuest,"1,28",1.28,False,1351
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Vainqueur du match - Two options,1,Shopify Rebellion,Shopify Rebellion,"3,30",3.30,False,1358
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Handicap de la carte,0,FlyQuest (-2.5),-2.5,"3,20",3.20,False,1386
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Handicap de la carte,1,Shopify Rebellion (2.5),2.5,"1,30",1.30,False,1394
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Handicap de la carte,2,FlyQuest (-1.5),-1.5,"1,68",1.68,False,1402
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Handicap de la carte,3,Shopify Rebellion (1.5),1.5,"2,05",2.05,False,1410
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Handicap de la carte,4,FlyQuest (1.5),1.5,"1,10",1.10,False,1418
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Handicap de la carte,5,Shopify Rebellion (-1.5),-1.5,"5,80",5.80,False,1426
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Handicap de la carte,6,FlyQuest (2.5),2.5,"1,02",1.02,False,1434
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Handicap de la carte,7,Shopify Rebellion (-2.5),-2.5,"10,00",10.00,False,1442
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Nombre de maps,0,Over 3.5,3.5,"1,38",1.38,False,1470
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Nombre de maps,1,Under 3.5,3.5,"2,80",2.80,False,1478
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Nombre de maps,2,Over 4.5,4.5,"2,80",2.80,False,1486
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Nombre de maps,3,Under 4.5,4.5,"1,38",1.38,False,1494
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Gagne au moins un map,0,Yes Shopify Rebellion,Oui,"1,30",1.30,False,1521
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Gagne au moins un map,1,No Shopify Rebellion,Non,"3,20",3.20,False,1529
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Gagne au moins un map,2,Yes FlyQuest,Oui,"1,02",1.02,False,1540
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Gagne au moins un map,3,No FlyQuest,Non,"10,00",10.00,False,1548
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Résultat final,0,0:3,0:3,"10,00",10.00,False,1574
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Résultat final,1,1:3,1:3,"7,50",7.50,False,1581
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Résultat final,2,3:1,3:1,"3,10",3.10,False,1588
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Résultat final,3,3:0,3:0,"3,20",3.20,False,1595
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Résultat final,4,2:3,2:3,"5,80",5.80,False,1602
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Résultat final,5,3:2,3:2,"4,40",4.40,False,1609
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 Gagnant - Two options,0,FlyQuest,FlyQuest,"1,48",1.48,False,1631
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 Gagnant - Two options,1,Shopify Rebellion,Shopify Rebellion,"2,50",2.50,False,1638
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 2 Gagnant - Two options,0,FlyQuest,FlyQuest,"1,48",1.48,False,1660
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 2 Gagnant - Two options,1,Shopify Rebellion,Shopify Rebellion,"2,50",2.50,False,1667
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 3 Gagnant - Two options,0,FlyQuest,FlyQuest,"1,48",1.48,False,1689
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 3 Gagnant - Two options,1,Shopify Rebellion,Shopify Rebellion,"2,50",2.50,False,1696
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 4 Gagnant - Two options,0,FlyQuest,FlyQuest,"1,50",1.50,False,1718
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 4 Gagnant - Two options,1,Shopify Rebellion,Shopify Rebellion,"2,40",2.40,False,1725
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 5 Gagnant - Two options,0,FlyQuest,FlyQuest,"1,55",1.55,False,1747
006-flyquest-principal-expanded,2026-09-21T22:06:31.230Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 5 Gagnant - Two options,1,Shopify Rebellion,Shopify Rebellion,"2,30",2.30,False,1754
007-flyquest-map1,2026-09-21T22:07:04.051Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 - Premier à atteindre morts,0,FlyQuest 5 Kills,5,"1,62",1.62,False,1386
007-flyquest-map1,2026-09-21T22:07:04.051Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 - Premier à atteindre morts,1,Shopify Rebellion 5 Kills,5,"2,15",2.15,False,1394
007-flyquest-map1,2026-09-21T22:07:04.051Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 - Premier à atteindre morts,2,FlyQuest 10 Kills,10,"1,52",1.52,False,1402
007-flyquest-map1,2026-09-21T22:07:04.051Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 - Premier à atteindre morts,3,Shopify Rebellion 10 Kills,10,"2,35",2.35,False,1410
007-flyquest-map1,2026-09-21T22:07:04.051Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 - Premier à atteindre morts,4,FlyQuest 15 Kills,15,"1,50",1.50,False,1418
007-flyquest-map1,2026-09-21T22:07:04.051Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 - Premier à atteindre morts,5,Shopify Rebellion 15 Kills,15,"2,40",2.40,False,1426
007-flyquest-map1,2026-09-21T22:07:04.051Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 - Premier sang,0,FlyQuest,FlyQuest,"1,78",1.78,False,1448
007-flyquest-map1,2026-09-21T22:07:04.051Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 - Premier sang,1,Shopify Rebellion,Shopify Rebellion,"1,92",1.92,False,1455
007-flyquest-map1,2026-09-21T22:07:04.051Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 - Premier Baron,0,FlyQuest,FlyQuest,"1,52",1.52,False,1477
007-flyquest-map1,2026-09-21T22:07:04.051Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 - Premier Baron,1,Shopify Rebellion,Shopify Rebellion,"2,35",2.35,False,1484
007-flyquest-map1,2026-09-21T22:07:04.051Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 - Premier inhibiteur,0,FlyQuest,FlyQuest,"1,48",1.48,False,1506
007-flyquest-map1,2026-09-21T22:07:04.051Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 - Premier inhibiteur,1,Shopify Rebellion,Shopify Rebellion,"2,50",2.50,False,1513
007-flyquest-map1,2026-09-21T22:07:04.051Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 - º meurtre,0,FlyQuest 10th Kill,10,"1,72",1.72,False,1541
007-flyquest-map1,2026-09-21T22:07:04.051Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 - º meurtre,1,Shopify Rebellion 10th Kill,10,"2,00",2.00,False,1549
007-flyquest-map1,2026-09-21T22:07:04.051Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 - º meurtre,2,FlyQuest 20th Kill,20,"1,68",1.68,False,1557
007-flyquest-map1,2026-09-21T22:07:04.051Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 - º meurtre,3,Shopify Rebellion 20th Kill,20,"2,05",2.05,False,1565
007-flyquest-map1,2026-09-21T22:07:04.051Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 - º meurtre,4,FlyQuest 30th Kill,30,"1,65",1.65,False,1573
007-flyquest-map1,2026-09-21T22:07:04.051Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 - º meurtre,5,Shopify Rebellion 30th Kill,30,"2,10",2.10,False,1581
007-flyquest-map1,2026-09-21T22:07:04.051Z,845833,https://stake.bet/fr/sports/league-of-legends/international-1/lcs-2026-summer-playoffs-t4/845833-flyquest-shopify-rebellion,Map 1 - Quadruple meurtre,0,Yes,Yes,"6,30",6.30,False,1603
